mepan_mepid,Groep,Parameter,Eenheid,Hoedanigheid,Berekening,Norm,Year,KRW_Value,mepan,mepid,X,Y
oAFSLSC500 (340462),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.027,oAFSLSC500,340462,173691.925,419577.858
oANTHLO810 (340409),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.059,oANTHLO810,340409,185401.708,411550.789
oASTEAA330 (140231),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oASTEAA330,140231,187499.162,376411.467
oASTEAA470 (140236),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,1.5,oASTEAA470,140236,185849.591,379207.263
oASTEAA580 (140238),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oASTEAA580,140238,181975,381248
oASTEAA590 (140813),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.39,oASTEAA590,140813,181160,382250
oASTEAA860 (140233),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.32,oASTEAA860,140233,178016.335,383343.122
oBAKEAA100 (140244),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.33,oBAKEAA100,140244,177630,389080
oBAKEAA400 (900183),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.22,oBAKEAA400,900183,176880,389883
oBAKEPL004 (900167),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oBAKEPL004,900167,182220,392304
oBEEKGR460 (900009),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.32,oBEEKGR460,900009,168354.99,403226.57
oBEEKGR800 (990224),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.59,oBEEKGR800,990224,165130,405190
oBEEKGR880 (140274),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.81,oBEEKGR880,140274,164725,404759
oBEEKLO890 (140223),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.22,oBEEKLO890,140223,177192.928,381477.022
oBERKEN003 (185104),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oBERKEN003,185104,178190,387189
oBERKLO100 (140827),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oBERKLO100,140827,182569,391022
oBIEZLO400 (900079),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.2,oBIEZLO400,900079,165021.65,399092.91
oBIEZLO850 (140289),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.14,oBIEZLO850,140289,161139.881,405128.4
oBOEKVE000 (145550),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,0.01,oBOEKVE000,145550,176393,400425
oBOSSSL870 (343521),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,0.36,oBOSSSL870,343521,143666.4,409502.6
oBROEWI004 (349747),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oBROEWI004,349747,181050,415700
oBUITLO300 (900187),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.22,2016,,oBUITLO300,900187,142305,414226
oCAMPBE200 (149741),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oCAMPBE200,149741,199654,396788
oCAMPBE700 (149742),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,,2016,,oCAMPBE700,149742,199920,397401
oDE_AA_004 (149350),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.3,oDE_AA_004,149350,157055,407520
oDE_AA_100 (140210),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oDE_AA_100,140210,180942.404,371640.71
oDE_AA_150 (143212),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,,oDE_AA_150,143212,180193.8,374255.2
oDE_AA_155 (900186),NUTRIENT,fosfor totaal-P,mg/l,P,ZGM,<=0.11,2016,0.5,oDE_AA_155,900186,180021,375068
